102.48877095 ,28.35013994 
102.48871803 ,28.35006281 
102.48866510 ,28.34998567 
102.48861218 ,28.34990853 
102.48855926 ,28.34983140 
102.48850634 ,28.34975426 
102.48845342 ,28.34967712 
102.48840050 ,28.34959999 
102.48834758 ,28.34952285 
102.48829466 ,28.34944571 
102.48824174 ,28.34936858 
102.48818882 ,28.34929144 
102.48813590 ,28.34921430 
102.48808299 ,28.34913716 
102.48803006 ,28.34906003 
102.48797715 ,28.34898289 
102.48792423 ,28.34890575 
102.48787131 ,28.34882862 
102.48781839 ,28.34875148 
102.48776547 ,28.34867434 
102.48771255 ,28.34859720 
102.48765963 ,28.34852007 
102.48760671 ,28.34844293 
102.48755379 ,28.34836579 
102.48750087 ,28.34828866 
102.48744796 ,28.34821152 
102.48739504 ,28.34813438 
102.48734212 ,28.34805724 
102.48728920 ,28.34798011 
102.48723628 ,28.34790297 
102.48718336 ,28.34782583 
102.48713045 ,28.34774869 
102.48707753 ,28.34767156 
102.48702461 ,28.34759442 
102.48697169 ,28.34751728 
102.48691877 ,28.34744015 
102.48686585 ,28.34736301 
102.48681294 ,28.34728587 
102.48676002 ,28.34720873 
102.48670710 ,28.34713160 
102.48665418 ,28.34705446 
102.48660127 ,28.34697732 
102.48654835 ,28.34690018 
102.48649543 ,28.34682304 
102.48644251 ,28.34674591 
102.48638960 ,28.34666877 
102.48633668 ,28.34659163 
102.48628376 ,28.34651449 
102.48623085 ,28.34643736 
102.48617793 ,28.34636022 
102.48612501 ,28.34628308 
102.48607210 ,28.34620594 
102.48601918 ,28.34612880 
102.48596626 ,28.34605167 
102.48591335 ,28.34597453 
102.48586043 ,28.34589739 
102.48580751 ,28.34582025 
102.48575460 ,28.34574312 
102.48570168 ,28.34566598 
102.48564876 ,28.34558884 
102.48559585 ,28.34551170 
102.48554293 ,28.34543456 
102.48549002 ,28.34535743 
102.48543710 ,28.34528029 
102.48538419 ,28.34520315 
102.48533127 ,28.34512601 
102.48527835 ,28.34504887 
102.48522544 ,28.34497174 
102.48517252 ,28.34489460 
102.48511961 ,28.34481746 
102.48506669 ,28.34474032 
102.48501378 ,28.34466318 
102.48496086 ,28.34458604 
102.48490795 ,28.34450891 
102.48485503 ,28.34443177 
102.48480212 ,28.34435463 
102.48474920 ,28.34427749 
102.48469629 ,28.34420035 
102.48464337 ,28.34412321 
102.48459046 ,28.34404608 
102.48453754 ,28.34396894 
102.48448463 ,28.34389180 
102.48443172 ,28.34381466 
102.48437880 ,28.34373752 
102.48432589 ,28.34366038 
102.48427297 ,28.34358324 
102.48422006 ,28.34350611 
102.48416714 ,28.34342897 
102.48411423 ,28.34335183 
102.48406132 ,28.34327469 
102.48400840 ,28.34319755 
102.48395549 ,28.34312041 
102.48390258 ,28.34304327 
102.48384966 ,28.34296614 
102.48379675 ,28.34288900 
102.48374384 ,28.34281186 
102.48369092 ,28.34273472 
102.48363801 ,28.34265758 
102.48358510 ,28.34258044 
102.48353218 ,28.34250330 
102.48347927 ,28.34242616 
102.48342636 ,28.34234902 
102.48337344 ,28.34227189 
102.48332053 ,28.34219475 
102.48326762 ,28.34211761 
102.48321471 ,28.34204047 
102.48316179 ,28.34196333 
102.48310888 ,28.34188619 
102.48305597 ,28.34180905 
102.48300306 ,28.34173191 
102.48295014 ,28.34165477 
102.48289723 ,28.34157764 
102.48284432 ,28.34150050 
102.48279141 ,28.34142336 
102.48273850 ,28.34134622 
102.48268558 ,28.34126908 
102.48263267 ,28.34119194 
102.48257976 ,28.34111480 
102.48252685 ,28.34103766 
102.48247394 ,28.34096052 
102.48242103 ,28.34088338 
102.48236812 ,28.34080624 
102.48231520 ,28.34072910 
102.48226229 ,28.34065197 
102.48220938 ,28.34057483 
102.48215647 ,28.34049769 
102.48210356 ,28.34042055 
102.48205065 ,28.34034341 
102.48199774 ,28.34026627 
102.48194483 ,28.34018913 
102.48189192 ,28.34011199 
102.48183901 ,28.34003485 
102.48178610 ,28.33995771 
102.48173318 ,28.33988057 
102.48168027 ,28.33980343 
102.48162736 ,28.33972629 
102.48157445 ,28.33964915 
102.48152154 ,28.33957201 
102.48146863 ,28.33949487 
102.48141572 ,28.33941773 
102.48136281 ,28.33934059 
102.48130990 ,28.33926345 
102.48125699 ,28.33918631 
102.48120408 ,28.33910917 
102.48115117 ,28.33903203 
102.48109827 ,28.33895489 
102.48104536 ,28.33887775 
102.48099245 ,28.33880061 
102.48093954 ,28.33872347 
102.48088663 ,28.33864633 
102.48083372 ,28.33856919 
102.48078081 ,28.33849205 
102.48072790 ,28.33841491 
102.48067499 ,28.33833777 
102.48062208 ,28.33826063 
102.48056917 ,28.33818349 
102.48051627 ,28.33810635 
102.48046336 ,28.33802921 
102.48041045 ,28.33795207 
102.48035754 ,28.33787493 
102.48030463 ,28.33779779 
102.48025172 ,28.33772065 
102.48019882 ,28.33764351 
102.48014591 ,28.33756637 
102.48009300 ,28.33748923 
102.48004009 ,28.33741209 
102.47998718 ,28.33733495 
102.47993428 ,28.33725781 
102.47988137 ,28.33718067 
102.47982846 ,28.33710353 
102.47977555 ,28.33702639 
102.47972264 ,28.33694925 
102.47966974 ,28.33687211 
102.47961683 ,28.33679497 
102.47956392 ,28.33671783 
102.47951101 ,28.33664069 
102.47945811 ,28.33656355 
102.47940520 ,28.33648641 
102.47935229 ,28.33640927 
102.47929939 ,28.33633213 
102.47924648 ,28.33625499 
102.47919357 ,28.33617785 
102.47914067 ,28.33610071 
102.47908776 ,28.33602356 
102.47903485 ,28.33594642 
102.47898195 ,28.33586928 
